trial_idx,score,batch_size,partition_strategy,partition_shards,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
84,-736427.216,4,expert,1,718872,657474,30920,3942,0,13066,0,0,782979,216,0,30.253843834790473,0.49238769972867047,cube,16,27,5,torus2d,ugal,credit_vc,4,8,mesh2d,xy,wormhole,2,nearest,round_robin
85,-3388665.656,16,k_split,4,3132938,2629698,491720,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,xy,credit_vc,2,load_aware,nearest
86,-237862.512,4,col,4,210070,164418,7880,3449,8406,231625,0,0,390309,212,0,30.976424740517807,1.0,cube,16,27,5,torus2d,ugal,wormhole,1,16,flat_butterfly,ugal,wormhole,4,nearest,load_aware
87,-3396177.056,16,expert,1,3136271,2629698,491720,7638,0,125175,0,0,2311428,956,0,445.0816354816355,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,4,flat_butterfly,xy,credit_vc,4,nearest,nearest
88,-3416211.448,16,k_split,7,3145637,2629698,491720,9363,0,228408,0,0,1966992,1048,0,216.15939687668282,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,16,mesh2d,table_based,credit_vc,2,load_aware,round_robin
89,-197760.294,4,col,4,191521,164418,7880,4681,4206,13629,0,0,1229484,194,0,77.671826625387,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,mesh2d,table_based,wormhole,1,nearest,nearest
90,-3415909.556,16,col,4,3143486,2629698,491720,7638,0,250350,0,0,2311428,956,0,222.54081774081774,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,16,mesh2d,xy,credit_vc,1,nearest,nearest
91,-3488174.2399999998,16,col,4,3167381,2629698,491720,7392,0,734538,0,0,3607260,1040,0,83.25591765834436,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,mesh2d,xy,credit_vc,2,nearest,load_aware
92,-162483.91599999997,4,col,7,157231,95262,4588,3942,9612,21703,0,0,434811,216,0,18.317840600543043,0.49519702466516075,cube,16,27,5,flat_butterfly,ugal,wormhole,2,16,flat_butterfly,xy,credit_vc,4,load_aware,round_robin
93,-3445946.8479999998,16,k_split,7,3146411,2629698,491720,9363,0,517884,138,0,666408,1048,0,205.4551503518874,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,4,mesh2d,xy,credit_vc,4,nearest,round_robin
94,-3489616.556,16,col,4,3158720,2629698,491720,7638,0,835080,0,0,1030956,956,0,108.25458468176915,1.0,cube,16,27,5,mesh2d,xy,wormhole,2,16,mesh2d,ugal,credit_vc,4,nearest,nearest
95,-713487.794,4,col,1,695058,657474,30920,4681,0,20334,0,0,183789,194,0,404.8492183560262,1.0,cube,16,27,5,torus2d,xy,wormhole,2,16,flat_butterfly,table_based,wormhole,4,nearest,nearest
96,-428701.094,4,col,2,415200,328770,15560,4681,11202,47826,21,0,528471,194,0,14.600105479476968,0.8701511266299307,cube,16,27,5,flat_butterfly,ugal,wormhole,2,4,mesh2d,ugal,wormhole,1,load_aware,nearest
97,-3479989.048,16,expert,1,3175781,2629698,491720,9363,0,564744,0,0,3341676,1048,0,71.36142222222222,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,16,flat_butterfly,ugal,credit_vc,2,nearest,round_robin
98,-3402520.648,16,expert,1,3146057,2629698,491720,9363,0,87144,156,0,5430744,1048,0,210.21628698612201,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,4,flat_butterfly,table_based,wormhole,4,load_aware,round_robin
99,-3425328.956,16,expert,1,3144584,2629698,491720,7638,0,333564,0,0,1866120,956,0,206.80473982483255,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,table_based,credit_vc,4,load_aware,nearest
100,-711598.894,4,expert,1,694601,657474,30920,4681,0,6015,0,0,503346,194,0,526.0917431192661,1.0,cube,16,27,5,torus2d,xy,credit_vc,4,16,flat_butterfly,ugal,credit_vc,8,nearest,nearest
101,-3537721.04,16,k_split,2,3198434,2629698,491720,7392,0,919476,0,0,6695724,1040,0,46.122946110536596,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,mesh2d,xy,credit_vc,8,load_aware,load_aware
102,-199095.91599999997,4,col,4,193714,164418,7880,3942,4206,6533,0,0,782979,216,0,60.507687669580946,0.49238769972867047,cube,16,27,5,torus2d,ugal,wormhole,4,8,mesh2d,table_based,wormhole,1,load_aware,round_robin
103,-3409134.74,16,col,4,3135761,2629698,491720,7392,0,260331,12,0,729732,1040,0,461.98590130916415,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,1,8,mesh2d,ugal,wormhole,8,nearest,load_aware
