trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
95,-373033.39400000003,4,entwined_ring,4,True,237232,325683,259944,4681,3194,48930,0,0,418653,194,0,42.06308288798072,1.0,cube,16,27,5,torus2d,ugal,credit_vc,2,4,mesh2d,xy,credit_vc,2,nearest,nearest
96,-1405360.194,4,expert,1,True,882067,1302579,1034712,4681,0,50004,4,0,249342,194,0,83.75753781950965,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,4,mesh2d,table_based,wormhole,1,load_aware,nearest
97,-181913.694,4,streaming,4,False,134258,173634,64938,4681,14406,142503,0,0,201906,194,0,64.92123564612648,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,2,8,flat_butterfly,table_based,wormhole,8,load_aware,nearest
98,-4060474.956,16,k_split,2,True,3505354,5210163,1040472,7638,0,333564,0,0,1866120,956,0,206.80473982483255,1.0,cube,16,27,5,torus2d,xy,wormhole,4,8,mesh2d,ugal,credit_vc,2,load_aware,nearest
99,-1449226.216,4,entwined_ring,1,True,907669,1302579,1034712,3942,0,234126,0,0,439140,216,0,22.815698979736833,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,8,flat_butterfly,xy,wormhole,1,load_aware,round_robin
100,-1227505.416,4,hybrid_nk,1,False,706038,657474,1034712,3942,0,33228,0,0,294216,216,0,205.27128611608285,1.0,cube,16,27,5,mesh2d,xy,credit_vc,2,8,mesh2d,table_based,wormhole,8,nearest,round_robin
101,-884395.894,4,block,4,True,523732,648243,518200,4681,8406,1006275,0,0,543360,194,0,8.86638835509023,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,1,8,mesh2d,ugal,wormhole,1,nearest,nearest
102,-1228335.212,4,row,1,False,708613,657474,1034712,3449,0,16762,0,0,381444,212,0,123.18796992481202,1.0,cube,16,27,5,torus2d,xy,wormhole,4,4,mesh2d,table_based,credit_vc,4,nearest,load_aware
103,-226997.31199999998,4,entwined_ring,7,True,151486,188687,149294,3449,7300,1743,0,0,844494,212,0,31.43859649122807,0.06825657894736842,cube,16,27,5,flat_butterfly,ugal,wormhole,4,8,flat_butterfly,xy,wormhole,2,nearest,load_aware
104,-2326757.44,16,k_split,1,False,1792895,2629698,1040472,7392,0,121470,0,0,2596668,1040,0,137.35677317250523,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,2,16,flat_butterfly,table_based,credit_vc,2,nearest,load_aware
105,-4050123.84,16,expert,1,True,3500947,5210163,1040472,7392,0,274614,0,0,1331796,1040,0,288.75676647783473,1.0,cube,16,27,5,mesh2d,xy,credit_vc,2,8,flat_butterfly,table_based,wormhole,4,nearest,load_aware
106,-698634.812,4,block,4,True,436635,648243,518200,3449,2106,22098,0,0,190731,212,0,252.3784973278843,1.0,cube,16,27,5,torus2d,xy,wormhole,2,8,flat_butterfly,ugal,wormhole,2,load_aware,load_aware
107,-4347599.040000001,16,hybrid_nk,4,True,3810370,5210163,1040472,7392,0,155136,0,0,6442368,1040,0,10.018169112508735,0.4839772386942198,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,8,flat_butterfly,ugal,credit_vc,1,load_aware,load_aware
108,-2345310.048,16,block,1,False,1785581,2629698,1040472,9363,0,376191,3,0,968352,1048,0,199.89193899782134,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,1,8,flat_butterfly,table_based,wormhole,4,nearest,round_robin
109,-4293265.44,16,hybrid_nk,2,True,3537694,5210163,1040472,7392,0,2338560,0,0,803508,1040,0,67.08581933650873,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,mesh2d,table_based,wormhole,4,load_aware,load_aware
110,-216356.41599999997,4,k_split,7,False,129332,105154,149059,3942,4126,117063,0,0,439140,216,0,45.63269482180413,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,16,flat_butterfly,ugal,wormhole,4,nearest,round_robin
111,-195617.916,4,k_split,7,False,119979,105154,149059,3942,8240,3208,0,0,698940,216,0,163.9738562091503,0.6552287581699346,cube,16,27,5,flat_butterfly,xy,wormhole,4,8,mesh2d,table_based,wormhole,8,nearest,round_robin
112,-224383.716,4,col,7,True,147863,188687,149294,3942,4812,10851,0,0,434811,216,0,36.6365171359467,0.49518550632044905,cube,16,27,5,flat_butterfly,ugal,credit_vc,2,16,flat_butterfly,table_based,credit_vc,4,load_aware,round_robin
113,-731744.994,4,hybrid_nk,2,True,453944,657459,517944,4681,10402,178926,0,0,130515,194,0,69.55605614278288,1.0,cube,16,27,5,mesh2d,xy,credit_vc,1,8,flat_butterfly,ugal,credit_vc,1,nearest,nearest
114,-2339448.048,16,streaming,7,False,1800068,2629698,1040472,9363,0,172704,0,0,5434788,1048,0,105.10814349306101,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,8,flat_butterfly,ugal,wormhole,2,nearest,round_robin
115,-4090510.448,16,expert,1,True,3532966,5210163,1040472,9363,0,354348,0,0,1970868,1048,0,74.43820120537784,1.0,cube,16,27,5,torus2d,xy,credit_vc,4,8,flat_butterfly,table_based,wormhole,1,load_aware,round_robin
116,-4059758.048,16,k_split,4,True,3520378,5210163,1040472,9363,0,172704,0,0,5434788,1048,0,105.10814349306101,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,16,mesh2d,table_based,wormhole,1,nearest,round_robin
