trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
10,-4083924.756,16,k_split,1,True,3505714,5210163,15888,1040472,7638,0,564300,162,0,801888,956,0,202.11883182275932,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,4,flat_butterfly,table_based,wormhole,2,load_aware,nearest
11,-4049632.448,16,entwined_ring,4,True,3504682,5210163,14856,1040472,9363,0,228408,0,0,1966992,1048,0,216.15939687668282,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,8,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
12,-2331199.156,16,entwined_ring,1,False,1777154,2629698,7308,1040472,7638,0,322782,24,0,743508,956,0,439.4176245210728,1.0,cube,16,27,5,torus2d,xy,wormhole,2,4,mesh2d,xy,wormhole,8,load_aware,nearest
13,-2372017.2399999998,16,k_split,7,False,1804328,2629698,34812,1040472,7392,0,459738,0,0,6695724,1040,0,92.24589222107319,1.0,cube,16,27,5,mesh2d,ugal,wormhole,4,16,mesh2d,xy,wormhole,8,nearest,load_aware
14,-2348368.2399999998,16,col,1,False,1789634,2629698,20118,1040472,7392,0,370188,0,0,843840,1040,0,159.6214335421016,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,16,flat_butterfly,ugal,wormhole,4,nearest,load_aware
15,-2421901.248,16,col,2,False,1852820,2629698,83304,1040472,9363,0,469716,0,0,2165340,1048,0,38.548737155478726,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,8,mesh2d,xy,wormhole,4,nearest,round_robin
16,-4052656.956,16,expert,1,True,3504268,5210163,14442,1040472,7638,0,266244,0,0,2522100,956,0,222.35590638415732,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,16,mesh2d,ugal,wormhole,8,nearest,nearest
17,-1437572.294,4,expert,1,True,913828,1302579,41346,1034712,4681,0,54519,0,0,1229484,194,0,19.41701736564601,1.0,cube,16,27,5,mesh2d,ugal,wormhole,4,16,mesh2d,xy,credit_vc,2,load_aware,nearest
18,-1234477.9120000002,4,streaming,1,False,714610,657474,12514,1034712,3449,0,18219,0,0,1237896,212,0,64.15342816046028,1.0,cube,16,27,5,mesh2d,ugal,wormhole,4,4,mesh2d,ugal,credit_vc,2,load_aware,load_aware
19,-4125815.04,16,streaming,1,True,3530062,5210163,40236,1040472,7392,0,740376,0,0,843840,1040,0,79.8107167710508,1.0,cube,16,27,5,torus2d,xy,wormhole,2,8,flat_butterfly,table_based,credit_vc,1,load_aware,load_aware
20,-4023633.24,16,entwined_ring,2,True,3497218,5210163,7308,1040472,7392,0,46917,81,0,6599280,1040,0,439.4176245210728,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,4,mesh2d,table_based,credit_vc,4,nearest,load_aware
21,-2519618.4480000003,16,hybrid_nk,4,False,1889960,2629698,120444,1040472,9363,0,1075488,0,0,1988676,1048,0,26.661884361196904,1.0,cube,16,27,5,torus2d,ugal,wormhole,2,4,flat_butterfly,table_based,wormhole,1,nearest,round_robin
22,-2722992.64,16,k_split,4,False,1867424,2629698,97908,1040472,7392,0,3338532,0,0,1571280,1040,0,32.79879070147486,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,8,flat_butterfly,xy,credit_vc,8,load_aware,load_aware
23,-331516.41599999997,4,hybrid_nk,7,False,255995,104514,4896,148824,3942,144491,3208,0,0,698940,216,0,163.9738562091503,0.6552287581699346,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,flat_butterfly,table_based,credit_vc,8,nearest,round_robin
24,-4051504.956,16,streaming,1,True,3497464,5210163,7308,1040472,7638,0,322764,0,0,744324,956,0,439.4176245210728,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,8,flat_butterfly,ugal,credit_vc,8,load_aware,nearest
25,-4164783.248,16,col,7,True,3532918,5210163,43092,1040472,9363,0,1097556,0,0,1321944,1048,0,74.5211176088369,1.0,cube,16,27,5,mesh2d,xy,credit_vc,2,16,flat_butterfly,ugal,credit_vc,4,nearest,round_robin
26,-4077073.448,16,col,1,True,3531478,5210163,41652,1040472,9363,0,234858,0,0,2165340,1048,0,77.09747431095745,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,8,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
27,-4068176.556,16,block,1,True,3504658,5210163,14832,1040472,7638,0,417540,0,0,1030956,956,0,216.5091693635383,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,16,flat_butterfly,table_based,wormhole,8,load_aware,nearest
28,-2596921.248,16,hybrid_nk,2,False,1820276,2629698,50760,1040472,9363,0,2545356,0,0,804072,1048,0,63.26367218282112,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,4,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
29,-4088706.2399999998,16,col,1,True,3512068,5210163,22242,1040472,7392,0,549228,0,0,1331796,1040,0,144.37838323891737,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,16,mesh2d,table_based,wormhole,4,load_aware,load_aware
30,-1437572.294,4,block,1,True,913828,1302579,41346,1034712,4681,0,54519,0,0,1229484,194,0,19.41701736564601,1.0,cube,16,27,5,mesh2d,ugal,wormhole,4,4,flat_butterfly,xy,wormhole,4,nearest,nearest
31,-2404452.5560000003,16,streaming,4,False,1799180,2629698,29664,1040472,7638,0,835080,0,0,1030956,956,0,108.25458468176915,1.0,cube,16,27,5,mesh2d,xy,wormhole,2,4,mesh2d,ugal,credit_vc,4,nearest,nearest
32,-1400230.394,4,row,1,True,877163,1302579,3785,1034712,4681,0,47750,0,0,90807,194,0,212.10462351387054,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,16,flat_butterfly,xy,credit_vc,1,nearest,nearest
33,-2326080.04,16,row,1,False,1793552,2629698,24036,1040472,7392,0,108126,0,0,3528240,1040,0,133.60226327175903,1.0,cube,16,27,5,torus2d,ugal,wormhole,4,8,mesh2d,table_based,wormhole,4,load_aware,load_aware
34,-1412033.716,4,expert,1,True,885073,1302579,12591,1034712,3942,0,88161,0,0,190158,216,0,63.76109919783973,1.0,cube,16,27,5,torus2d,table_based,credit_vc,2,8,mesh2d,ugal,wormhole,1,load_aware,round_robin
35,-412824.694,4,col,4,True,277029,325683,9909,259944,4681,58883,48873,0,0,469557,194,0,81.01887173276819,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,mesh2d,ugal,credit_vc,4,nearest,nearest
36,-1235105.694,4,expert,1,False,707867,657474,5771,1034712,4681,0,89463,0,0,130515,194,0,139.11211228556576,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,4,flat_butterfly,table_based,credit_vc,4,nearest,nearest
37,-4120470.2399999998,16,k_split,4,True,3511342,5210163,21516,1040472,7392,0,874128,0,0,548256,1040,0,149.25004647704034,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,16,flat_butterfly,table_based,credit_vc,2,nearest,load_aware
38,-2739330.64,16,streaming,1,False,1923800,2629698,154284,1040472,7392,0,2938152,0,0,3607260,1040,0,20.81397941458609,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,mesh2d,table_based,wormhole,4,nearest,load_aware
39,-2311436.0560000003,16,streaming,2,False,1777154,2629698,7215,1040472,7638,0,125175,0,0,2311428,956,0,445.0816354816355,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,16,mesh2d,table_based,credit_vc,8,nearest,nearest
40,-439983.812,4,col,4,False,307112,164418,3181,259944,3449,130808,22098,0,0,190731,212,0,252.3784973278843,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,16,mesh2d,ugal,credit_vc,2,nearest,load_aware
41,-2305306.248,16,k_split,1,False,1778879,2629698,7638,1040472,9363,0,43176,0,0,5434788,1048,0,420.43257397224403,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,mesh2d,table_based,wormhole,4,nearest,round_robin
42,-434425.79400000005,4,col,4,True,301987,325683,2535,259944,4681,83841,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,8,flat_butterfly,table_based,wormhole,1,load_aware,nearest
43,-1229199.0939999998,4,row,1,False,709678,657474,7582,1034712,4681,0,12287,0,0,509769,194,0,105.88446320232129,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,8,mesh2d,xy,credit_vc,2,load_aware,nearest
44,-1225252.0159999998,4,col,1,False,706038,657474,2334,1034712,3942,0,10694,0,0,416889,216,0,343.9657240788346,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
45,-4089281.04,16,hybrid_nk,2,True,3518386,5210163,28560,1040472,7392,0,491796,0,0,2180952,1040,0,112.43921568627451,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,2,16,flat_butterfly,table_based,wormhole,2,load_aware,load_aware
46,-2311269.3479999998,16,entwined_ring,4,False,1780301,2629698,10785,1040472,9363,0,88587,0,0,1970868,1048,0,297.75280482151135,1.0,cube,16,27,5,torus2d,xy,wormhole,4,4,flat_butterfly,table_based,wormhole,2,load_aware,round_robin
47,-1234161.916,4,streaming,1,False,715364,657474,13268,1034712,3942,0,6533,0,0,782979,216,0,60.507687669580946,0.49238769972867047,cube,16,27,5,torus2d,ugal,credit_vc,4,8,mesh2d,table_based,credit_vc,2,load_aware,round_robin
48,-2332568.356,16,entwined_ring,4,False,1796234,2629698,26718,1040472,7638,0,145698,0,0,2500644,956,0,120.19103226289393,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,8,mesh2d,table_based,wormhole,4,nearest,nearest
49,-594704.216,4,entwined_ring,4,False,462637,164418,26536,259944,3942,286333,13066,0,0,782979,216,0,30.253843834790473,0.49238769972867047,cube,16,27,5,torus2d,ugal,wormhole,4,8,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
50,-1227021.912,4,expert,1,False,706650,657474,4554,1034712,3449,0,23247,12,0,424704,212,0,176.2880983750549,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,2,4,flat_butterfly,ugal,wormhole,2,load_aware,load_aware
51,-4050492.2399999998,16,hybrid_nk,1,True,3504106,5210163,14280,1040472,7392,0,246540,168,0,2174988,1040,0,224.87843137254902,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,2,4,flat_butterfly,ugal,wormhole,1,nearest,load_aware
52,-4135035.156,16,streaming,1,True,3530530,5210163,40704,1040472,7638,0,827400,6,0,1110072,956,0,78.89308176100629,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,8,mesh2d,xy,credit_vc,4,load_aware,nearest
53,-526352.5160000001,4,entwined_ring,7,True,414016,188687,22287,149294,3942,288066,369009,0,0,175458,216,0,36.02171669583165,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,8,mesh2d,xy,credit_vc,2,nearest,round_robin
