trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
155,-1475268.616,4,entwined_ring,1,True,904363,1302579,31881,1034712,3942,0,527610,0,0,145020,216,0,25.1816442395157,1.0,cube,16,27,5,butterfly,table_based,wormhole,1,16,flat_butterfly,table_based,credit_vc,2,nearest,round_robin
156,-4317231.248,16,entwined_ring,4,True,3540586,5210163,50760,1040472,9363,0,2545356,0,0,804072,1048,0,63.26367218282112,1.0,cube,16,27,5,supermesh_bi,xy,wormhole,1,4,flat_butterfly,xy,credit_vc,2,load_aware,round_robin
157,-397192.81600000005,4,entwined_ring,7,False,311565,95262,28755,149294,3942,210358,101904,18,0,434919,216,0,27.919179273169885,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,2,4,butterfly,ugal,wormhole,4,load_aware,round_robin
158,-1410954.916,4,col,1,True,887290,1302579,14808,1034712,3942,0,55203,0,0,782823,216,0,54.215018908698,1.0,cube,16,27,5,supermesh_alter,xy,credit_vc,4,16,butterfly,table_based,wormhole,1,nearest,round_robin
159,-4051055.556,16,entwined_ring,2,True,3504256,5210163,14430,1040472,7638,0,250350,0,0,2311428,956,0,222.54081774081774,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,16,butterfly,xy,credit_vc,4,nearest,nearest
160,-666643.5120000001,4,entwined_ring,7,False,575948,95262,26544,149294,3449,474741,153585,0,0,810945,212,0,30.244725738396625,1.0,cube,16,27,5,supermesh_bi,ugal,wormhole,2,8,butterfly,table_based,credit_vc,4,nearest,load_aware
161,-696600.212,4,entwined_ring,2,False,430009,328770,7882,518200,3449,78441,68011,1,0,142749,212,0,101.85435168738898,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,1,8,mesh2d,table_based,wormhole,2,nearest,load_aware
162,-2354020.548,16,col,7,False,1783472,2629698,13956,1040472,9363,0,484389,0,0,990624,1048,0,230.09916881627973,1.0,cube,16,27,5,butterfly,xy,wormhole,2,16,flat_butterfly,table_based,credit_vc,8,load_aware,round_robin
163,-4092327.2399999998,16,col,2,True,3524638,5210163,34812,1040472,7392,0,459738,0,0,6695724,1040,0,92.24589222107319,1.0,cube,16,27,5,supermesh_bi,ugal,wormhole,4,16,butterfly,xy,wormhole,2,load_aware,load_aware
164,-715356.412,4,entwined_ring,2,False,430009,328770,15940,518200,3449,78441,255574,0,0,143223,212,0,50.36486825595985,1.0,cube,16,27,5,butterfly,xy,wormhole,1,8,mesh2d,ugal,credit_vc,2,load_aware,load_aware
165,-642681.294,4,col,2,False,379584,328770,5070,518200,4681,28016,30609,0,0,444195,194,0,158.34635108481262,1.0,cube,16,27,5,supermesh_bi,table_based,wormhole,4,16,mesh2d,ugal,credit_vc,2,nearest,nearest
166,-2552562.34,16,col,4,False,1835339,2629698,65823,1040472,7392,0,1955079,0,0,2725992,1040,0,48.78635127539006,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,1,16,flat_butterfly,table_based,credit_vc,8,load_aware,load_aware
167,-486360.216,4,entwined_ring,4,True,348954,325683,7822,259944,3942,130808,66456,0,0,294216,216,0,102.63564305804142,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,2,4,flat_butterfly,table_based,wormhole,1,load_aware,round_robin
168,-1179580.8939999999,4,col,4,False,948045,164418,90546,259944,4681,771741,1006275,0,0,543360,194,0,8.86638835509023,1.0,cube,16,27,5,mesh2d,ugal,wormhole,1,8,butterfly,xy,wormhole,2,load_aware,nearest
169,-4164583.448,16,entwined_ring,2,True,3515206,5210163,25380,1040472,9363,0,1272678,0,0,804072,1048,0,126.52734436564224,1.0,cube,16,27,5,supermesh_alter,table_based,wormhole,1,8,butterfly,ugal,wormhole,8,load_aware,round_robin
170,-665087.6939999999,4,col,2,False,390801,328770,12366,518200,4681,39233,142503,0,0,201906,194,0,64.92123564612648,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,2,4,mesh2d,xy,credit_vc,8,nearest,nearest
171,-4037304.248,16,entwined_ring,4,True,3501076,5210163,11250,1040472,9363,0,141186,0,0,3341676,1048,0,285.44568888888887,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,4,butterfly,ugal,credit_vc,8,nearest,round_robin
172,-4072946.64,16,entwined_ring,4,True,3519058,5210163,29232,1040472,7392,0,321732,0,0,8919060,1040,0,109.8544061302682,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,4,16,flat_butterfly,table_based,wormhole,1,nearest,load_aware
